,state,year,precipitation
0,AC,1998,2296.1
1,AC,1999,2182.2000000000003
2,AC,2000,1703.5
3,AC,2001,1926.9
4,AC,2002,1909.9
5,AC,2003,1797.1000000000001
6,AC,2004,2090.4
7,AC,2005,1751.6999999999998
8,AC,2006,2054.6
9,AC,2007,1766.1999999999994
10,AC,2008,1841.4
11,AC,2009,2253.0999999999995
12,AC,2010,1766.4
13,AC,2011,1619.4
14,AC,2012,2689.4
15,AC,2013,2046.3000000000002
16,AC,2014,2400.2999999999997
17,AC,2015,2012.4
18,AC,2016,1681.7
19,AC,2017,1890.3000000000002
40,AM,1998,2200.3999999999996
41,AM,1999,2620.3000000000006
42,AM,2000,2599.5999999999995
43,AM,2001,1798.3999999999999
44,AM,2002,2322.1
45,AM,2003,1954.9
46,AM,2004,2056.8999999999996
47,AM,2005,2208.1000000000004
48,AM,2006,2304.7
49,AM,2007,2406.2
50,AM,2008,3157.0999999999995
51,AM,2009,1958.5
52,AM,2010,2171.8999999999996
53,AM,2011,2780.0000000000005
54,AM,2012,2311.9999999999995
55,AM,2013,2723.0
56,AM,2014,2564.0
57,AM,2015,1735.7
58,AM,2016,2295.0
59,AM,2017,2136.2
60,AP,1998,2275.0
61,AP,1999,2707.3
62,AP,2000,2701.8
63,AP,2001,2113.8
64,AP,2002,2488.1000000000004
65,AP,2003,1921.3000000000002
66,AP,2004,2701.3
67,AP,2005,2591.5
68,AP,2006,2820.0
69,AP,2007,2695.3
70,AP,2008,2353.2999999999997
71,AP,2009,2508.0
72,AP,2010,2415.6
73,AP,2011,2557.7
74,AP,2012,2153.2999999999997
75,AP,2013,2852.6
76,AP,2014,2528.7000000000007
77,AP,2015,2421.7999999999997
78,AP,2016,2489.9999999999995
79,AP,2017,2139.4
180,MA,1998,1459.8000000000002
181,MA,1999,2366.2
182,MA,2000,2765.2
183,MA,2001,2479.6
184,MA,2002,1888.4
185,MA,2003,2370.5
186,MA,2004,2496.7999999999997
187,MA,2005,1803.3
188,MA,2006,2354.2000000000003
189,MA,2007,1899.0000000000002
190,MA,2008,2599.8000000000006
191,MA,2009,2847.8
192,MA,2010,1755.6000000000001
193,MA,2011,2713.2999999999997
194,MA,2012,1133.2
195,MA,2013,1594.2
196,MA,2014,1833.9
197,MA,2015,1507.2
198,MA,2016,1543.3000000000004
199,MA,2017,2198.8
220,MT,1998,1611.8
221,MT,1999,1611.8000000000002
222,MT,2000,1249.0
223,MT,2001,1225.8
224,MT,2002,1172.5
225,MT,2003,1371.7
226,MT,2004,1177.0
227,MT,2005,966.5000000000001
228,MT,2006,1517.7
229,MT,2007,1604.0
230,MT,2008,604.9
231,MT,2009,954.1999999999999
232,MT,2010,1596.4999999999998
233,MT,2011,1673.0000000000002
234,MT,2012,1620.1
235,MT,2013,1524.4000000000003
236,MT,2014,1676.5000000000002
237,MT,2015,1382.3999999999999
238,MT,2016,1625.9
239,MT,2017,1314.2
240,PA,1998,2932.4999999999995
241,PA,1999,2680.2000000000003
242,PA,2000,3352.1000000000004
243,PA,2001,3304.2
244,PA,2002,2856.0
245,PA,2003,2769.3999999999996
246,PA,2004,2940.2000000000003
247,PA,2005,3528.5
248,PA,2006,3663.8
249,PA,2007,3286.2000000000003
250,PA,2008,3339.5999999999995
251,PA,2009,3463.5999999999995
252,PA,2010,3065.2999999999997
253,PA,2011,3592.2000000000003
254,PA,2012,3563.0
255,PA,2013,3775.6
256,PA,2014,3598.4
257,PA,2015,3445.1999999999994
258,PA,2016,3416.4
259,PA,2017,3320.5000000000005
376,RR,1998,2187.5
377,RR,1999,2051.1
378,RR,2000,1933.4999999999998
379,RR,2001,1325.3
380,RR,2002,1615.5
381,RR,2003,1606.0
382,RR,2004,1860.7
383,RR,2005,2140.7999999999997
384,RR,2006,2492.7000000000003
385,RR,2007,2112.7000000000003
386,RR,2008,2063.7
387,RR,2009,1226.1000000000001
388,RR,2010,2023.8
389,RR,2011,2238.7999999999997
390,RR,2012,1559.9
391,RR,2013,1850.6999999999998
392,RR,2014,1268.2
393,RR,2015,1312.7
394,RR,2016,1697.2
395,RR,2017,1394.7
475,TO,1998,1481.1999999999998
476,TO,1999,2280.6000000000004
477,TO,2000,2206.0000000000005
478,TO,2001,2171.5
479,TO,2002,1696.7999999999997
480,TO,2003,2043.6999999999998
481,TO,2004,1895.2
482,TO,2005,1791.7
483,TO,2006,2149.3
484,TO,2007,1743.7
485,TO,2008,1710.3
486,TO,2009,1921.3
487,TO,2010,1805.6
488,TO,2011,2005.6999999999998
489,TO,2012,1497.8999999999999
490,TO,2013,1849.3000000000002
491,TO,2014,1843.9
492,TO,2015,1393.7
493,TO,2016,1270.5
494,TO,2017,1320.6999999999998
