Ano;Bioma;Categoria;Estado;Número de registros;Período;Área Desmatada (Ha)
Até 2012;Amazônia;Desflorestamento;Acre;1;31/12/2012;2069692,76
Até 2012;Amazônia;Desflorestamento;Amapá;1;31/12/2012;296396,91
Até 2012;Amazônia;Desflorestamento;Amazonas;1;31/12/2012;3504915,57
Até 2012;Amazônia;Desflorestamento;Maranhão;1;31/12/2012;8005247,83
Até 2012;Amazônia;Desflorestamento;Mato Grosso;1;31/12/2012;18127035,13
Até 2012;Amazônia;Desflorestamento;Pará;1;31/12/2012;25387873,84
Até 2012;Amazônia;Desflorestamento;Rondônia;1;31/12/2012;8602887,48
Até 2012;Amazônia;Desflorestamento;Roraima;1;31/12/2012;976429,18
Até 2012;Amazônia;Desflorestamento;Tocantins;1;31/12/2012;2518520,27
2013;Amazônia;Desflorestamento;Acre;1;31/12/2013;19961,24
2013;Amazônia;Desflorestamento;Amapá;1;31/12/2013;2417,26
2013;Amazônia;Desflorestamento;Amazonas;1;31/12/2013;48079,1
2013;Amazônia;Desflorestamento;Maranhão;1;31/12/2013;15956,45
2013;Amazônia;Desflorestamento;Mato Grosso;1;31/12/2013;100275,38
2013;Amazônia;Desflorestamento;Pará;1;31/12/2013;213467,98
2013;Amazônia;Desflorestamento;Rondônia;1;31/12/2013;96245,62
2013;Amazônia;Desflorestamento;Roraima;1;31/12/2013;14841,41
2013;Amazônia;Desflorestamento;Tocantins;1;31/12/2013;1827,79
2013;Amazônia;Resíduo;Acre;1;31/12/2013;472,69
2013;Amazônia;Resíduo;Amazonas;1;31/12/2013;759,17
2013;Amazônia;Resíduo;Maranhão;1;31/12/2013;108,41
2013;Amazônia;Resíduo;Mato Grosso;1;31/12/2013;2346,2
2013;Amazônia;Resíduo;Pará;1;31/12/2013;3432,34
2013;Amazônia;Resíduo;Rondônia;1;31/12/2013;682,28
2013;Amazônia;Resíduo;Roraima;1;31/12/2013;522,46
2013;Amazônia;Resíduo;Tocantins;1;31/12/2013;46,77
2014;Amazônia;Desflorestamento;Acre;1;31/12/2014;34783,47
2014;Amazônia;Desflorestamento;Amapá;1;31/12/2014;2910,54
2014;Amazônia;Desflorestamento;Amazonas;1;31/12/2014;55268,27
2014;Amazônia;Desflorestamento;Maranhão;1;31/12/2014;13920,18
2014;Amazônia;Desflorestamento;Mato Grosso;1;31/12/2014;101548,73
2014;Amazônia;Desflorestamento;Pará;1;31/12/2014;179688,99
2014;Amazônia;Desflorestamento;Rondônia;1;31/12/2014;76079,78
2014;Amazônia;Desflorestamento;Roraima;1;31/12/2014;18889,85
2014;Amazônia;Desflorestamento;Tocantins;1;31/12/2014;1190,9
2014;Amazônia;Resíduo;Acre;1;31/12/2014;377,38
2014;Amazônia;Resíduo;Amazonas;1;31/12/2014;923,49
2014;Amazônia;Resíduo;Maranhão;1;31/12/2014;45
2014;Amazônia;Resíduo;Mato Grosso;1;31/12/2014;544,53
2014;Amazônia;Resíduo;Pará;1;31/12/2014;3301,1
2014;Amazônia;Resíduo;Rondônia;1;31/12/2014;753,16
2014;Amazônia;Resíduo;Roraima;1;31/12/2014;166,36
2014;Amazônia;Resíduo;Tocantins;1;31/12/2014;22,36
2015;Amazônia;Desflorestamento;Acre;1;31/12/2015;22268,62
2015;Amazônia;Desflorestamento;Amapá;1;31/12/2015;1903,66
2015;Amazônia;Desflorestamento;Amazonas;1;31/12/2015;68702,76
2015;Amazônia;Desflorestamento;Maranhão;1;31/12/2015;11238,43
2015;Amazônia;Desflorestamento;Mato Grosso;1;31/12/2015;136658,24
2015;Amazônia;Desflorestamento;Pará;1;31/12/2015;230492,38
2015;Amazônia;Desflorestamento;Rondônia;1;31/12/2015;96006,5
2015;Amazônia;Desflorestamento;Roraima;1;31/12/2015;15429,36
2015;Amazônia;Desflorestamento;Tocantins;1;31/12/2015;2148,35
2015;Amazônia;Resíduo;Acre;1;31/12/2015;23964,36
2015;Amazônia;Resíduo;Amapá;1;31/12/2015;2678,74
2015;Amazônia;Resíduo;Amazonas;1;31/12/2015;20442,05
2015;Amazônia;Resíduo;Maranhão;1;31/12/2015;5925,18
2015;Amazônia;Resíduo;Mato Grosso;1;31/12/2015;13957,77
2015;Amazônia;Resíduo;Pará;1;31/12/2015;58138,54
2015;Amazônia;Resíduo;Rondônia;1;31/12/2015;12570,1
2015;Amazônia;Resíduo;Roraima;1;31/12/2015;8187,69
2015;Amazônia;Resíduo;Tocantins;1;31/12/2015;553,22
